"address_id";"address";"address2";"district";"city_id";"postal_code";"last_update"
31;"217 Botshabelo Place";"";"Southern Mindanao";138;"49521";"2006-02-15 09:45:30"
32;"1425 Shikarpur Manor";"";"Bihar";346;"65599";"2006-02-15 09:45:30"
33;"786 Aurora Avenue";"";"Yamaguchi";474;"65750";"2006-02-15 09:45:30"
34;"1668 Anpolis Street";"";"Taipei";316;"50199";"2006-02-15 09:45:30"
35;"33 Gorontalo Way";"";"West Bengali";257;"30348";"2006-02-15 09:45:30"
36;"176 Mandaluyong Place";"";"Uttar Pradesh";239;"65213";"2006-02-15 09:45:30"
37;"127 Purnea (Purnia) Manor";"";"Piemonte";17;"79388";"2006-02-15 09:45:30"
38;"61 Tama Street";"";"Okayama";284;"94065";"2006-02-15 09:45:30"
39;"391 Callao Drive";"";"Midi-Pyrnes";544;"34021";"2006-02-15 09:45:30"
40;"334 Munger (Monghyr) Lane";"";"Markazi";31;"38145";"2006-02-15 09:45:30"
41;"1440 Fukuyama Loop";"";"Henan";362;"47929";"2006-02-15 09:45:30"
42;"269 Cam Ranh Parkway";"";"Chisinau";115;"34689";"2006-02-15 09:45:30"
43;"306 Antofagasta Place";"";"Esprito Santo";569;"3989";"2006-02-15 09:45:30"
44;"671 Graz Street";"";"Oriental";353;"94399";"2006-02-15 09:45:30"
45;"42 Brindisi Place";"";"Yerevan";586;"16744";"2006-02-15 09:45:30"
46;"1632 Bislig Avenue";"";"Nonthaburi";394;"61117";"2006-02-15 09:45:30"
47;"1447 Imus Way";"";"Tahiti";167;"48942";"2006-02-15 09:45:30"
48;"1998 Halifax Drive";"";"Lipetsk";308;"76022";"2006-02-15 09:45:30"
49;"1718 Valencia Street";"";"Antofagasta";27;"37359";"2006-02-15 09:45:30"
50;"46 Pjatigorsk Lane";"";"Moscow (City)";343;"23616";"2006-02-15 09:45:30"
51;"686 Garland Manor";"";"Cear";247;"52535";"2006-02-15 09:45:30"
52;"909 Garland Manor";"";"Tatarstan";367;"69367";"2006-02-15 09:45:30"
53;"725 Isesaki Place";"";"Mekka";237;"74428";"2006-02-15 09:45:30"
54;"115 Hidalgo Parkway";"";"Khartum";379;"80168";"2006-02-15 09:45:30"
55;"1135 Izumisano Parkway";"";"California";171;"48150";"2006-02-15 09:45:30"
56;"939 Probolinggo Loop";"";"Galicia";1;"4166";"2006-02-15 09:45:30"
57;"17 Kabul Boulevard";"";"Chiba";355;"38594";"2006-02-15 09:45:30"
58;"1964 Allappuzha (Alleppey) Street";"";"Yamaguchi";227;"48980";"2006-02-15 09:45:30"
59;"1697 Kowloon and New Kowloon Loop";"";"Moskova";49;"57807";"2006-02-15 09:45:30"
60;"1668 Saint Louis Place";"";"Tahiti";397;"39072";"2006-02-15 09:45:30"
61;"943 Tokat Street";"";"Vaduz";560;"45428";"2006-02-15 09:45:30"
62;"1114 Liepaja Street";"";"Sarawak";282;"69226";"2006-02-15 09:45:30"
63;"1213 Ranchi Parkway";"";"Karnataka";350;"94352";"2006-02-15 09:45:30"
64;"81 Hodeida Way";"";"Rajasthan";231;"55561";"2006-02-15 09:45:30"
65;"915 Ponce Place";"";"Basel-Stadt";56;"83980";"2006-02-15 09:45:30"
66;"1717 Guadalajara Lane";"";"Missouri";441;"85505";"2006-02-15 09:45:30"
67;"1214 Hanoi Way";"";"Nebraska";306;"67055";"2006-02-15 09:45:30"
68;"1966 Amroha Avenue";"";"Sichuan";139;"70385";"2006-02-15 09:45:30"
69;"698 Otsu Street";"";"Cayenne";105;"71110";"2006-02-15 09:45:30"
70;"1150 Kimchon Manor";"";"Skne ln";321;"96109";"2006-02-15 09:45:30"
71;"1586 Guaruj Place";"";"Hunan";579;"5135";"2006-02-15 09:45:30"
72;"57 Arlington Manor";"";"Madhya Pradesh";475;"48960";"2006-02-15 09:45:30"
73;"1031 Daugavpils Parkway";"";"Bchar";63;"59025";"2006-02-15 09:45:30"
74;"1124 Buenaventura Drive";"";"Mekka";13;"6856";"2006-02-15 09:45:30"
75;"492 Cam Ranh Street";"";"Eastern Visayas";61;"50805";"2006-02-15 09:45:30"
76;"89 Allappuzha (Alleppey) Manor";"";"National Capital Reg";517;"75444";"2006-02-15 09:45:30"
77;"1947 Poos de Caldas Boulevard";"";"Chiayi";114;"60951";"2006-02-15 09:45:30"
78;"1206 Dos Quebradas Place";"";"So Paulo";431;"20207";"2006-02-15 09:45:30"
79;"1551 Rampur Lane";"";"Changhwa";108;"72394";"2006-02-15 09:45:30"
80;"602 Paarl Street";"";"Pavlodar";402;"98889";"2006-02-15 09:45:30"
81;"1692 Ede Loop";"";"So Paulo";30;"9223";"2006-02-15 09:45:30"
82;"936 Salzburg Lane";"";"Uttar Pradesh";425;"96709";"2006-02-15 09:45:30"
83;"586 Tete Way";"";"Kanagawa";256;"1079";"2006-02-15 09:45:30"
84;"1888 Kabul Drive";"";"Oyo & Osun";217;"20936";"2006-02-15 09:45:30"
85;"320 Baiyin Parkway";"";"Mahajanga";319;"37307";"2006-02-15 09:45:30"
86;"927 Baha Blanca Parkway";"";"Krim";479;"9495";"2006-02-15 09:45:30"
87;"929 Tallahassee Loop";"";"Gauteng";497;"74671";"2006-02-15 09:45:30"
88;"125 Citt del Vaticano Boulevard";"";"Puebla";40;"67912";"2006-02-15 09:45:30"
89;"1557 Ktahya Boulevard";"";"England";88;"88002";"2006-02-15 09:45:30"
90;"870 Ashqelon Loop";"";"Songkhla";489;"84931";"2006-02-15 09:45:30"
91;"1740 Portoviejo Avenue";"";"Sucre";480;"29932";"2006-02-15 09:45:30"
92;"1942 Ciparay Parkway";"";"Cheju";113;"82624";"2006-02-15 09:45:30"
93;"1926 El Alto Avenue";"";"Buenos Aires";289;"75543";"2006-02-15 09:45:30"
94;"1952 Chatsworth Drive";"";"Guangdong";332;"25958";"2006-02-15 09:45:30"
95;"1370 Le Mans Avenue";"";"Brunei and Muara";53;"52163";"2006-02-15 09:45:30"
96;"984 Effon-Alaiye Avenue";"";"Gois";183;"17119";"2006-02-15 09:45:30"
97;"832 Nakhon Sawan Manor";"";"Inner Mongolia";592;"49021";"2006-02-15 09:45:30"
98;"152 Kitwe Parkway";"";"Caraga";82;"53182";"2006-02-15 09:45:30"
99;"1697 Tanauan Lane";"";"Punjab";399;"22870";"2006-02-15 09:45:30"
100;"1308 Arecibo Way";"";"Georgia";41;"30695";"2006-02-15 09:45:30"
101;"1599 Plock Drive";"";"Tete";534;"71986";"2006-02-15 09:45:30"
102;"669 Firozabad Loop";"";"Abu Dhabi";12;"92265";"2006-02-15 09:45:30"
103;"588 Vila Velha Manor";"";"Kyongsangbuk";268;"51540";"2006-02-15 09:45:30"
104;"1913 Kamakura Place";"";"Lipetsk";238;"97287";"2006-02-15 09:45:30"
105;"733 Mandaluyong Place";"";"Asir";2;"77459";"2006-02-15 09:45:30"
106;"659 Vaduz Drive";"";"Ha Darom";34;"49708";"2006-02-15 09:45:30"
107;"1177 Jelets Way";"";"Kwara & Kogi";220;"3305";"2006-02-15 09:45:30"
108;"1386 Yangor Avenue";"";"Provence-Alpes-Cte";543;"80720";"2006-02-15 09:45:30"
109;"454 Nakhon Sawan Boulevard";"";"Funafuti";173;"76383";"2006-02-15 09:45:30"
110;"1867 San Juan Bautista Tuxtepec Avenue";"";"Ivanovo";225;"78311";"2006-02-15 09:45:30"
111;"1532 Dzerzinsk Way";"";"Buenos Aires";334;"9599";"2006-02-15 09:45:30"
112;"1002 Ahmadnagar Manor";"";"Mxico";213;"93026";"2006-02-15 09:45:30"
113;"682 Junan Way";"";"North West";273;"30418";"2006-02-15 09:45:30"
114;"804 Elista Drive";"";"Hubei";159;"61069";"2006-02-15 09:45:30"
115;"1378 Alvorada Avenue";"";"Distrito Federal";102;"75834";"2006-02-15 09:45:30"
116;"793 Cam Ranh Avenue";"";"California";292;"87057";"2006-02-15 09:45:30"
117;"1079 Tel Aviv-Jaffa Boulevard";"";"Sucre";132;"10885";"2006-02-15 09:45:30"
118;"442 Rae Bareli Place";"";"Nordrhein-Westfalen";148;"24321";"2006-02-15 09:45:30"
119;"1107 Nakhon Sawan Avenue";"";"Mxico";365;"75149";"2006-02-15 09:45:30"
120;"544 Malm Parkway";"";"Central Java";403;"63502";"2006-02-15 09:45:30"
121;"1967 Sincelejo Place";"";"Gujarat";176;"73644";"2006-02-15 09:45:30"
122;"333 Goinia Way";"";"Texas";185;"78625";"2006-02-15 09:45:30"
123;"1987 Coacalco de Berriozbal Loop";"";"al-Qalyubiya";476;"96065";"2006-02-15 09:45:30"
124;"241 Mosul Lane";"";"Risaralda";147;"76157";"2006-02-15 09:45:30"
125;"211 Chiayi Drive";"";"Uttar Pradesh";164;"58186";"2006-02-15 09:45:30"
126;"1175 Tanauan Way";"";"Lima";305;"64615";"2006-02-15 09:45:30"
127;"117 Boa Vista Way";"";"Uttar Pradesh";566;"6804";"2006-02-15 09:45:30"
128;"848 Tafuna Manor";"";"Ktahya";281;"45142";"2006-02-15 09:45:30"
129;"569 Baicheng Lane";"";"Gauteng";85;"60304";"2006-02-15 09:45:30"
130;"1666 Qomsheh Drive";"";"So Paulo";410;"66255";"2006-02-15 09:45:30"
131;"801 Hagonoy Drive";"";"Smolensk";484;"8439";"2006-02-15 09:45:30"
132;"1050 Garden Grove Avenue";"";"Slaskie";236;"4999";"2006-02-15 09:45:30"
133;"1854 Tieli Street";"";"Shandong";302;"15819";"2006-02-15 09:45:30"
134;"758 Junan Lane";"";"Gois";190;"82639";"2006-02-15 09:45:30"
135;"1752 So Leopoldo Parkway";"";"Taka-Karpatia";345;"14014";"2006-02-15 09:45:30"
136;"898 Belm Manor";"";"Free State";87;"49757";"2006-02-15 09:45:30"
137;"261 Saint Louis Way";"";"Coahuila de Zaragoza";541;"83401";"2006-02-15 09:45:30"
138;"765 Southampton Drive";"";"al-Qalyubiya";421;"4285";"2006-02-15 09:45:30"
139;"943 Johannesburg Avenue";"";"Maharashtra";417;"5892";"2006-02-15 09:45:30"
140;"788 Atinsk Street";"";"Karnataka";211;"81691";"2006-02-15 09:45:30"
141;"1749 Daxian Place";"";"Gelderland";29;"11044";"2006-02-15 09:45:30"
142;"1587 Sullana Lane";"";"Inner Mongolia";207;"85769";"2006-02-15 09:45:30"
143;"1029 Dzerzinsk Manor";"";"Ynlin";542;"57519";"2006-02-15 09:45:30"
144;"1666 Beni-Mellal Place";"";"Tennessee";123;"13377";"2006-02-15 09:45:30"
145;"928 Jaffna Loop";"";"Hiroshima";172;"93762";"2006-02-15 09:45:30"
146;"483 Ljubertsy Parkway";"";"Scotland";149;"60562";"2006-02-15 09:45:30"
147;"374 Bat Yam Boulevard";"";"Kilis";266;"97700";"2006-02-15 09:45:30"
148;"1027 Songkhla Manor";"";"Minsk";340;"30861";"2006-02-15 09:45:30"
149;"999 Sanaa Loop";"";"Gauteng";491;"3439";"2006-02-15 09:45:30"
150;"879 Newcastle Way";"";"Michigan";499;"90732";"2006-02-15 09:45:30"
151;"1337 Lincoln Parkway";"";"Saitama";555;"99457";"2006-02-15 09:45:30"
152;"1952 Pune Lane";"";"Saint-Denis";442;"92150";"2006-02-15 09:45:30"
153;"782 Mosul Street";"";"Massachusetts";94;"25545";"2006-02-15 09:45:30"
154;"781 Shimonoseki Drive";"";"Michoacn de Ocampo";202;"95444";"2006-02-15 09:45:30"
155;"1560 Jelets Boulevard";"";"Shandong";291;"77777";"2006-02-15 09:45:30"
156;"1963 Moscow Place";"";"Assam";354;"64863";"2006-02-15 09:45:30"
157;"456 Escobar Way";"";"Jakarta Raya";232;"36061";"2006-02-15 09:45:30"
158;"798 Cianjur Avenue";"";"Shanxi";590;"76990";"2006-02-15 09:45:30"
159;"185 Novi Sad Place";"";"Bern";72;"41778";"2006-02-15 09:45:30"
160;"1367 Yantai Manor";"";"Ondo & Ekiti";381;"21294";"2006-02-15 09:45:30"
161;"1386 Nakhon Sawan Boulevard";"";"Pyongyang-si";420;"53502";"2006-02-15 09:45:30"
162;"369 Papeete Way";"";"North Carolina";187;"66639";"2006-02-15 09:45:30"
163;"1440 Compton Place";"";"North Austria";307;"81037";"2006-02-15 09:45:30"
164;"1623 Baha Blanca Manor";"";"Moskova";310;"81511";"2006-02-15 09:45:30"
165;"97 Shimoga Avenue";"";"Tel Aviv";533;"44660";"2006-02-15 09:45:30"
166;"1740 Le Mans Loop";"";"Pays de la Loire";297;"22853";"2006-02-15 09:45:30"
167;"1287 Xiangfan Boulevard";"";"Gifu";253;"57844";"2006-02-15 09:45:30"
168;"842 Salzburg Lane";"";"Adana";529;"3313";"2006-02-15 09:45:30"
169;"154 Tallahassee Loop";"";"Xinxiang";199;"62250";"2006-02-15 09:45:30"
170;"710 San Felipe del Progreso Avenue";"";"Lilongwe";304;"76901";"2006-02-15 09:45:30"
171;"1540 Wroclaw Drive";"";"Maharashtra";107;"62686";"2006-02-15 09:45:30"
172;"475 Atinsk Way";"";"Gansu";240;"59571";"2006-02-15 09:45:30"
173;"1294 Firozabad Drive";"";"Jiangxi";407;"70618";"2006-02-15 09:45:30"
174;"1877 Ezhou Lane";"";"Rajasthan";550;"63337";"2006-02-15 09:45:30"
175;"316 Uruapan Street";"";"Perak";223;"58194";"2006-02-15 09:45:30"
176;"29 Pyongyang Loop";"";"Batman";58;"47753";"2006-02-15 09:45:30"
177;"1010 Klerksdorp Way";"";"Steiermark";186;"6802";"2006-02-15 09:45:30"
178;"1848 Salala Boulevard";"";"Miranda";373;"25220";"2006-02-15 09:45:30"
179;"431 Xiangtan Avenue";"";"Kerala";18;"4854";"2006-02-15 09:45:30"
180;"757 Rustenburg Avenue";"";"Skikda";483;"89668";"2006-02-15 09:45:30"
181;"146 Johannesburg Way";"";"Tamaulipas";330;"54132";"2006-02-15 09:45:30"
182;"1891 Rizhao Boulevard";"";"So Paulo";456;"47288";"2006-02-15 09:45:30"
183;"1089 Iwatsuki Avenue";"";"Kirov";270;"35109";"2006-02-15 09:45:30"
184;"1410 Benin City Parkway";"";"Risaralda";405;"29747";"2006-02-15 09:45:30"
185;"682 Garden Grove Place";"";"Tennessee";333;"67497";"2006-02-15 09:45:30"
186;"533 al-Ayn Boulevard";"";"California";126;"8862";"2006-02-15 09:45:30"
187;"1839 Szkesfehrvr Parkway";"";"Gois";317;"55709";"2006-02-15 09:45:30"
188;"741 Ambattur Manor";"";"Noord-Brabant";438;"43310";"2006-02-15 09:45:30"
189;"927 Barcelona Street";"";"Chaharmahal va Bakht";467;"65121";"2006-02-15 09:45:30"
190;"435 0 Way";"";"West Bengali";195;"74750";"2006-02-15 09:45:30"
191;"140 Chiayi Parkway";"";"Sumy";506;"38982";"2006-02-15 09:45:30"
192;"1166 Changhwa Street";"";"Caraga";62;"58852";"2006-02-15 09:45:30"
193;"891 Novi Sad Manor";"";"Ontario";383;"5379";"2006-02-15 09:45:30"
194;"605 Rio Claro Parkway";"";"Tabora";513;"49348";"2006-02-15 09:45:30"
195;"1077 San Felipe de Puerto Plata Place";"";"Rostov-na-Donu";369;"65387";"2006-02-15 09:45:30"
196;"9 San Miguel de Tucumn Manor";"";"Uttar Pradesh";169;"90845";"2006-02-15 09:45:30"
197;"447 Surakarta Loop";"";"Nyanza";271;"10428";"2006-02-15 09:45:30"
198;"345 Oshawa Boulevard";"";"Tokyo-to";204;"32114";"2006-02-15 09:45:30"
199;"1792 Valle de la Pascua Place";"";"Nordrhein-Westfalen";477;"15540";"2006-02-15 09:45:30"
200;"1074 Binzhou Manor";"";"Baden-Wrttemberg";325;"36490";"2006-02-15 09:45:30"
201;"817 Bradford Loop";"";"Jiangsu";109;"89459";"2006-02-15 09:45:30"
202;"955 Bamenda Way";"";"Ondo & Ekiti";218;"1545";"2006-02-15 09:45:30"
203;"1149 A Corua (La Corua) Boulevard";"";"Haiphong";194;"95824";"2006-02-15 09:45:30"
204;"387 Mwene-Ditu Drive";"";"Ahal";35;"8073";"2006-02-15 09:45:30"
205;"68 Molodetno Manor";"";"Nordrhein-Westfalen";575;"4662";"2006-02-15 09:45:30"
206;"642 Nador Drive";"";"Maharashtra";77;"3924";"2006-02-15 09:45:30"
207;"1688 Nador Lane";"";"Sulawesi Utara";184;"61613";"2006-02-15 09:45:30"
208;"1215 Pyongyang Parkway";"";"Usak";557;"25238";"2006-02-15 09:45:30"
209;"1679 Antofagasta Street";"";"Alto Paran";122;"86599";"2006-02-15 09:45:30"
210;"1304 s-Hertogenbosch Way";"";"Santa Catarina";83;"10925";"2006-02-15 09:45:30"
211;"850 Salala Loop";"";"Kitaa";371;"10800";"2006-02-15 09:45:30"
212;"624 Oshawa Boulevard";"";"West Bengali";51;"89959";"2006-02-15 09:45:30"
213;"43 Dadu Avenue";"";"Rajasthan";74;"4855";"2006-02-15 09:45:30"
214;"751 Lima Loop";"";"Aden";7;"99405";"2006-02-15 09:45:30"
215;"1333 Haldia Street";"";"Jilin";174;"82161";"2006-02-15 09:45:30"
216;"660 Jedda Boulevard";"";"Washington";65;"25053";"2006-02-15 09:45:30"
217;"1001 Miyakonojo Lane";"";"Taizz";518;"67924";"2006-02-15 09:45:30"
218;"226 Brest Manor";"";"California";508;"2299";"2006-02-15 09:45:30"
219;"1229 Valencia Parkway";"";"Haskovo";498;"99124";"2006-02-15 09:45:30"
220;"1201 Qomsheh Manor";"";"Gois";28;"21464";"2006-02-15 09:45:30"
221;"866 Shivapuri Manor";"";"Uttar Pradesh";448;"22474";"2006-02-15 09:45:30"
222;"1168 Najafabad Parkway";"";"Kabol";251;"40301";"2006-02-15 09:45:30"
223;"1244 Allappuzha (Alleppey) Place";"";"Buenos Aires";567;"20657";"2006-02-15 09:45:30"
224;"1842 Luzinia Boulevard";"";"Zanzibar West";593;"94420";"2006-02-15 09:45:30"
225;"1926 Gingoog Street";"";"Sisilia";511;"22824";"2006-02-15 09:45:30"
226;"810 Palghat (Palakkad) Boulevard";"";"Jaroslavl";235;"73431";"2006-02-15 09:45:30"
227;"1820 Maring Parkway";"";"Punjab";324;"88307";"2006-02-15 09:45:30"
228;"60 Poos de Caldas Street";"";"Rajasthan";243;"82338";"2006-02-15 09:45:30"
229;"1014 Loja Manor";"";"Tamil Nadu";22;"66851";"2006-02-15 09:45:30"
230;"201 Effon-Alaiye Way";"";"Asuncin";37;"64344";"2006-02-15 09:45:30"
231;"430 Alessandria Loop";"";"Saarland";439;"47446";"2006-02-15 09:45:30"
232;"754 Valencia Place";"";"Phnom Penh";406;"87911";"2006-02-15 09:45:30"
233;"356 Olomouc Manor";"";"Gois";26;"93323";"2006-02-15 09:45:30"
234;"1256 Bislig Boulevard";"";"Botosani";86;"50598";"2006-02-15 09:45:30"
235;"954 Kimchon Place";"";"West Bengali";559;"42420";"2006-02-15 09:45:30"
236;"885 Yingkou Manor";"";"Kaduna";596;"31390";"2006-02-15 09:45:30"
237;"1736 Cavite Place";"";"Qina";216;"98775";"2006-02-15 09:45:30"
238;"346 Skikda Parkway";"";"Hawalli";233;"90628";"2006-02-15 09:45:30"
239;"98 Stara Zagora Boulevard";"";"Valle";96;"76448";"2006-02-15 09:45:30"
240;"1479 Rustenburg Boulevard";"";"Southern Tagalog";527;"18727";"2006-02-15 09:45:30"
241;"647 A Corua (La Corua) Street";"";"Chollanam";357;"36971";"2006-02-15 09:45:30"
242;"1964 Gijn Manor";"";"Karnataka";473;"14408";"2006-02-15 09:45:30"
243;"47 Syktyvkar Lane";"";"West Java";118;"22236";"2006-02-15 09:45:30"
244;"1148 Saarbrcken Parkway";"";"Fukushima";226;"1921";"2006-02-15 09:45:30"
245;"1103 Bilbays Parkway";"";"Hubei";578;"87660";"2006-02-15 09:45:30"
246;"1246 Boksburg Parkway";"";"Hebei";422;"28349";"2006-02-15 09:45:30"
247;"1483 Pathankot Street";"";"Tucumn";454;"37288";"2006-02-15 09:45:30"
248;"582 Papeete Loop";"";"Central Visayas";294;"27722";"2006-02-15 09:45:30"
249;"300 Junan Street";"";"Kyonggi";553;"81314";"2006-02-15 09:45:30"
250;"829 Grand Prairie Way";"";"Paran";328;"6461";"2006-02-15 09:45:30"
251;"1473 Changhwa Parkway";"";"Mxico";124;"75933";"2006-02-15 09:45:30"
252;"1309 Weifang Street";"";"Florida";520;"57338";"2006-02-15 09:45:30"
253;"1760 Oshawa Manor";"";"Tianjin";535;"38140";"2006-02-15 09:45:30"
254;"786 Stara Zagora Way";"";"Oyo & Osun";390;"98332";"2006-02-15 09:45:30"
255;"1966 Tonghae Street";"";"Anhalt Sachsen";198;"36481";"2006-02-15 09:45:30"
256;"1497 Yuzhou Drive";"";"England";312;"3433";"2006-02-15 09:45:30"
258;"752 Ondo Loop";"";"Miyazaki";338;"32474";"2006-02-15 09:45:30"
259;"1338 Zalantun Lane";"";"Minas Gerais";413;"45403";"2006-02-15 09:45:30"
260;"127 Iwakuni Boulevard";"";"Central Luzon";192;"20777";"2006-02-15 09:45:30"
261;"51 Laredo Avenue";"";"Sagaing";342;"68146";"2006-02-15 09:45:30"
262;"771 Yaound Manor";"";"Sofala";64;"86768";"2006-02-15 09:45:30"
263;"532 Toulon Street";"";"Santiago";460;"69517";"2006-02-15 09:45:30"
264;"1027 Banjul Place";"";"West Bengali";197;"50390";"2006-02-15 09:45:30"
265;"1158 Mandi Bahauddin Parkway";"";"Shanxi";136;"98484";"2006-02-15 09:45:30"
266;"862 Xintai Lane";"";"Cagayan Valley";548;"30065";"2006-02-15 09:45:30"
267;"816 Cayenne Parkway";"";"Manab";414;"93629";"2006-02-15 09:45:30"
268;"1831 Nam Dinh Loop";"";"National Capital Reg";323;"51990";"2006-02-15 09:45:30"
269;"446 Kirovo-Tepetsk Lane";"";"Osaka";203;"19428";"2006-02-15 09:45:30"
270;"682 Halisahar Place";"";"Severn Morava";378;"20536";"2006-02-15 09:45:30"
271;"1587 Loja Manor";"";"Salzburg";447;"5410";"2006-02-15 09:45:30"
272;"1762 Paarl Parkway";"";"Hunan";298;"53928";"2006-02-15 09:45:30"
273;"1519 Ilorin Place";"";"Kerala";395;"49298";"2006-02-15 09:45:30"
274;"920 Kumbakonam Loop";"";"California";446;"75090";"2006-02-15 09:45:30"
275;"906 Goinia Way";"";"Wielkopolskie";255;"83565";"2006-02-15 09:45:30"
276;"1675 Xiangfan Manor";"";"Tamil Nadu";283;"11763";"2006-02-15 09:45:30"
277;"85 San Felipe de Puerto Plata Drive";"";"Shandong";584;"46063";"2006-02-15 09:45:30"
278;"144 South Hill Loop";"";"Guanajuato";445;"2012";"2006-02-15 09:45:30"
279;"1884 Shikarpur Avenue";"";"Haryana";263;"85548";"2006-02-15 09:45:30"
280;"1980 Kamjanets-Podilskyi Street";"";"Illinois";404;"89502";"2006-02-15 09:45:30"
281;"1944 Bamenda Way";"";"Michigan";573;"24645";"2006-02-15 09:45:30"
282;"556 Baybay Manor";"";"Oyo & Osun";374;"55802";"2006-02-15 09:45:30"
283;"457 Tongliao Loop";"";"Bursa";222;"56254";"2006-02-15 09:45:30"
284;"600 Bradford Street";"";"East Azerbaidzan";514;"96204";"2006-02-15 09:45:30"
285;"1006 Santa Brbara dOeste Manor";"";"Ondo & Ekiti";389;"36229";"2006-02-15 09:45:30"
286;"1308 Sumy Loop";"";"Fujian";175;"30657";"2006-02-15 09:45:30"
287;"1405 Chisinau Place";"";"Ponce";411;"8160";"2006-02-15 09:45:30"
288;"226 Halifax Street";"";"Xinxiang";277;"58492";"2006-02-15 09:45:30"
289;"1279 Udine Parkway";"";"Edo & Delta";69;"75860";"2006-02-15 09:45:30"
290;"1336 Benin City Drive";"";"Shiga";386;"46044";"2006-02-15 09:45:30"
291;"1155 Liaocheng Place";"";"Oyo & Osun";152;"22650";"2006-02-15 09:45:30"
292;"1993 Tabuk Lane";"";"Tamil Nadu";522;"64221";"2006-02-15 09:45:30"
293;"86 Higashiosaka Lane";"";"Guanajuato";563;"33768";"2006-02-15 09:45:30"
294;"1912 Allende Manor";"";"Kowloon and New Kowl";279;"58124";"2006-02-15 09:45:30"
295;"544 Tarsus Boulevard";"";"Gurico";562;"53145";"2006-02-15 09:45:30"
296;"1936 Cuman Avenue";"";"Virginia";433;"61195";"2006-02-15 09:45:30"
297;"1192 Tongliao Street";"";"Sharja";470;"19065";"2006-02-15 09:45:30"
298;"44 Najafabad Way";"";"Baskimaa";146;"61391";"2006-02-15 09:45:30"
299;"32 Pudukkottai Lane";"";"Ohio";140;"38834";"2006-02-15 09:45:30"
300;"661 Chisinau Lane";"";"Pietari";274;"8856";"2006-02-15 09:45:30"
301;"951 Stara Zagora Manor";"";"Punjab";400;"98573";"2006-02-15 09:45:30"
302;"922 Vila Velha Loop";"";"Maharashtra";9;"4085";"2006-02-15 09:45:30"
303;"898 Jining Lane";"";"Pohjois-Pohjanmaa";387;"40070";"2006-02-15 09:45:30"
304;"1635 Kuwana Boulevard";"";"Hiroshima";205;"52137";"2006-02-15 09:45:30"
305;"41 El Alto Parkway";"";"Maharashtra";398;"56883";"2006-02-15 09:45:30"
306;"1883 Maikop Lane";"";"Kaliningrad";254;"68469";"2006-02-15 09:45:30"
